File,Line,Severity,ID,Message,Verbose,CWE,Column,Info,Symbol
winget-cli/src/WindowsPackageManager/main.cpp,14,information,missingIncludeSystem,Include file: <AppInstallerStrings.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <AppInstallerStrings.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/WindowsPackageManager/main.cpp,15,information,missingIncludeSystem,Include file: <AppInstallerTelemetry.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <AppInstallerTelemetry.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/WindowsPackageManager/main.cpp,16,information,missingIncludeSystem,Include file: <AppInstallerErrors.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <AppInstallerErrors.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/WindowsPackageManager/main.cpp,17,information,missingIncludeSystem,Include file: <winget/GroupPolicy.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winget/GroupPolicy.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/WindowsPackageManager/main.cpp,18,information,missingIncludeSystem,Include file: <ShutdownMonitoring.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <ShutdownMonitoring.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/WindowsPackageManager/main.cpp,19,information,missingIncludeSystem,Include file: <winget/COMStaticStorage.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winget/COMStaticStorage.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/WindowsPackageManager/main.cpp,20,information,missingIncludeSystem,Include file: <ComClsids.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <ComClsids.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,3,information,missingIncludeSystem,Include file: <Windows.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <Windows.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,4,information,missingIncludeSystem,Include file: <roapi.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <roapi.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,5,information,missingIncludeSystem,Include file: <winstring.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <winstring.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,6,information,missingIncludeSystem,Include file: <rometadataresolution.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <rometadataresolution.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,7,information,missingIncludeSystem,Include file: <combaseapi.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <combaseapi.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,8,information,missingIncludeSystem,Include file: <wrl.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <wrl.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,9,information,missingIncludeSystem,Include file: <xmllite.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <xmllite.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,10,information,missingIncludeSystem,Include file: <Shlwapi.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <Shlwapi.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,11,information,missingIncludeSystem,Include file: <comutil.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <comutil.h> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,12,information,missingIncludeSystem,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <fstream> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
winget-cli/src/Xlang/UndockedRegFreeWinRT/src/UndockedRegFreeWinRT/UndockedRegFreeWinRT/catalog.cpp,13,information,missingIncludeSystem,Include file: <unordered_map> not found. Please note: Cppcheck does not need standard library headers to get proper results.,Include file: <unordered_map> not found. Please note: Cppcheck does not need standard library headers to get proper results.,,0,,
